,지수
1270,99.491
1271,99.491
1272,99.491
1273,99.491
1274,99.491
1275,99.491
1276,99.491
1277,99.187
1278,99.187
1279,99.187
1280,99.187
1281,99.187
1282,99.187
1283,99.187
1284,99.187
1285,99.187
1286,99.187
1287,99.187
1288,99.187
1289,99.187
1290,99.187
1291,99.187
1292,99.187
1293,99.187
1294,99.187
1295,99.187
1296,99.187
1297,99.187
1298,99.187
1299,99.187
1300,99.187
1301,99.187
1302,99.187
1303,99.187
1304,99.187
1305,99.187
1306,99.187
1307,99.187
1308,99.425
1309,99.425
1310,99.425
1311,99.425
1312,99.425
1313,99.425
1314,99.425
1315,99.425
1316,99.425
1317,99.425
1318,99.425
1319,99.425
1320,99.425
1321,99.425
1322,99.425
1323,99.425
1324,99.425
1325,99.425
1326,99.425
1327,99.425
1328,99.425
1329,99.425
1330,99.425
1331,99.425
1332,99.425
1333,99.425
1334,99.425
1335,99.425
1336,99.425
1337,99.425
1338,99.425
1339,99.794
1340,99.794
1341,99.794
1342,99.794
1343,99.794
1344,99.794
1345,99.794
1346,99.794
1347,99.794
1348,99.794
1349,99.794
1350,99.794
1351,99.794
1352,99.794
1353,99.794
1354,99.794
1355,99.794
1356,99.794
1357,99.794
1358,99.794
1359,99.794
1360,99.794
1361,99.794
1362,99.794
1363,99.794
1364,99.794
1365,99.794
1366,99.794
1367,99.794
1368,99.794
1369,100.041
1370,100.041
1371,100.041
1372,100.041
1373,100.041
1374,100.041
1375,100.041
1376,100.041
1377,100.041
1378,100.041
1379,100.041
1380,100.041
1381,100.041
1382,100.041
1383,100.041
1384,100.041
1385,100.041
1386,100.041
1387,100.041
1388,100.041
1389,100.041
1390,100.041
1391,100.041
1392,100.041
1393,100.041
1394,100.041
1395,100.041
1396,100.041
1397,100.041
1398,100.041
1399,100.041
1400,99.481
1401,99.481
1402,99.481
1403,99.481
1404,99.481
1405,99.481
1406,99.481
1407,99.481
1408,99.481
1409,99.481
1410,99.481
1411,99.481
1412,99.481
1413,99.481
1414,99.481
1415,99.481
1416,99.481
1417,99.481
