구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2016년11월16일,1765.77,1426.72,1222.71,800.36
2016년11월17일,1765.68,1426.43,1222.37,800.26
2016년11월18일,1766.73,1426.06,1222.02,799.96
2016년11월19일,1764.58,1425.64,1221.54,799.69
2016년11월20일,1763.07,1425.33,1220.99,799.53
2016년11월21일,1764.45,1424.99,1221.04,799.30
2016년11월22일,1765.63,1424.75,1220.73,799.25
2016년11월23일,1765.23,1424.62,1220.62,799.29
2016년11월24일,1766.14,1424.49,1220.48,799.20
2016년11월25일,1765.16,1424.51,1220.55,799.27
2016년11월26일,1764.18,1424.41,1220.26,799.36
2016년11월27일,1763.36,1424.44,1220.03,799.09
2016년11월28일,1763.76,1424.49,1220.43,799.19
2016년11월29일,1770.95,1425.31,1221.11,799.88
2016년11월30일,1772.76,1425.53,1221.21,799.86
2016년12월01일,1772.23,1425.98,1221.73,800.09
2016년12월02일,1774.87,1428.26,1224.00,800.59
2016년12월03일,1775.49,1429.71,1225.36,801.37
2016년12월04일,1775.25,1430.46,1225.87,801.83
2016년12월05일,1776.37,1431.78,1227.52,802.85
2016년12월06일,1778.86,1433.59,1229.35,804.13
2016년12월07일,1779.61,1435.25,1231.05,805.16
2016년12월08일,1782.93,1437.46,1233.16,806.02
2016년12월09일,1783.12,1439.12,1234.92,807.03
2016년12월10일,1783.86,1440.56,1236.00,808.17
2016년12월11일,1783.36,1441.54,1236.84,808.41
2016년12월12일,1783.38,1443.66,1239.16,809.91
2016년12월13일,1791.54,1448.27,1243.56,812.52
2016년12월14일,1795.14,1452.27,1247.64,815.97
2016년12월15일,1797.11,1455.06,1250.31,818.41
2016년12월16일,1798.95,1457.55,1252.84,821.02
2016년12월17일,1799.28,1459.79,1254.74,822.29
2016년12월18일,1799.75,1460.66,1255.30,822.89
2016년12월19일,1799.16,1462.22,1257.12,824.05
2016년12월20일,1802.03,1464.25,1259.14,825.65
2016년12월21일,1802.58,1466.00,1260.81,827.09
2016년12월22일,1803.08,1467.29,1262.02,828.18
2016년12월23일,1803.28,1468.86,1263.65,829.49
2016년12월24일,1803.80,1470.58,1265.23,830.77
2016년12월25일,1805.27,1471.47,1265.82,831.26
2016년12월26일,1807.00,1472.98,1267.69,832.62
2016년12월27일,1810.05,1475.47,1269.74,834.25
2016년12월28일,1812.70,1477.59,1271.73,836.01
2016년12월29일,1815.02,1479.72,1273.64,837.40
2016년12월30일,1814.85,1481.74,1275.73,839.22
2016년12월31일,1815.56,1483.70,1277.36,840.49
2017년01월01일,1816.37,1486.06,1279.34,841.71
2017년01월02일,1817.61,1487.92,1281.55,843.22
2017년01월03일,1825.89,1492.17,1285.44,845.33
2017년01월04일,1828.94,1495.37,1288.66,847.66
2017년01월05일,1831.73,1497.70,1290.76,849.51
2017년01월06일,1833.63,1499.65,1292.58,850.89
2017년01월07일,1834.21,1501.37,1294.04,852.04
2017년01월08일,1836.40,1502.44,1294.73,852.79
2017년01월09일,1837.71,1503.96,1296.50,853.95
2017년01월10일,1837.94,1505.91,1298.42,855.35
2017년01월11일,1839.70,1507.16,1299.82,856.37
2017년01월12일,1839.95,1508.20,1300.70,857.37
2017년01월13일,1840.45,1509.01,1301.58,858.32
2017년01월14일,1839.57,1509.85,1302.12,859.07
2017년01월15일,1840.84,1510.29,1302.39,859.29
2017년01월16일,1840.70,1511.05,1303.38,860.18
2017년01월17일,1842.05,1511.69,1303.96,860.99
2017년01월18일,1843.20,1512.30,1304.57,861.22
2017년01월19일,1842.13,1512.71,1304.91,861.61
2017년01월20일,1841.61,1513.06,1305.33,861.90
2017년01월21일,1842.05,1513.41,1305.47,862.17
2017년01월22일,1841.95,1513.65,1305.52,862.34
2017년01월23일,1841.88,1514.03,1306.04,862.85
2017년01월24일,1842.67,1514.43,1306.38,863.33
2017년01월25일,1842.60,1514.77,1306.65,863.36
2017년01월26일,1843.40,1515.40,1307.01,863.54
2017년01월27일,1843.15,1515.85,1307.38,863.51
2017년01월28일,1843.17,1516.05,1307.45,863.56
2017년01월29일,1843.53,1516.15,1307.57,863.35
2017년01월30일,1841.53,1516.26,1307.61,863.54
2017년01월31일,1840.61,1516.50,1307.99,863.74
2017년02월01일,1842.49,1516.70,1308.18,864.03
2017년02월02일,1843.99,1516.87,1308.23,864.28
2017년02월03일,1843.54,1516.95,1308.28,864.35
2017년02월04일,1844.90,1516.99,1308.09,864.17
2017년02월05일,1843.96,1516.99,1307.98,864.40
2017년02월06일,1844.67,1517.18,1308.39,864.57
2017년02월07일,1843.89,1517.29,1308.36,864.64
2017년02월08일,1842.91,1517.31,1308.42,864.55
2017년02월09일,1843.48,1517.20,1308.22,864.81
2017년02월10일,1843.40,1517.09,1308.21,864.84
2017년02월11일,1843.19,1517.05,1307.90,865.03
2017년02월12일,1841.54,1517.01,1307.75,865.01
2017년02월13일,1841.20,1517.02,1308.03,865.08
2017년02월14일,1839.79,1516.94,1307.85,864.93
2017년02월15일,1840.39,1516.79,1307.68,864.92
2017년02월16일,1842.18,1516.79,1307.67,864.91
2017년02월17일,1841.81,1516.69,1307.58,864.76
2017년02월18일,1842.86,1516.55,1307.24,864.76
2017년02월19일,1842.39,1516.55,1307.06,864.68
2017년02월20일,1842.62,1516.55,1307.26,864.70
2017년02월21일,1842.69,1516.54,1307.23,864.95
2017년02월22일,1842.88,1516.40,1306.97,864.82
2017년02월23일,1843.39,1516.29,1306.83,864.76
2017년02월24일,1842.84,1516.11,1306.76,864.64
2017년02월25일,1843.37,1515.75,1306.11,864.22
2017년02월26일,1842.47,1515.59,1305.81,864.10
2017년02월27일,1842.49,1515.58,1306.08,864.05
2017년02월28일,1843.32,1515.39,1305.87,864.03
2017년03월01일,1843.62,1515.14,1305.45,863.96
2017년03월02일,1842.81,1514.91,1305.23,864.09
2017년03월03일,1844.11,1514.75,1305.22,864.04
2017년03월04일,1845.45,1514.44,1304.67,863.89
2017년03월05일,1844.67,1514.28,1304.39,863.80
2017년03월06일,1842.43,1514.09,1304.55,863.91
2017년03월07일,1839.56,1513.59,1304.04,863.77
2017년03월08일,1840.77,1513.20,1303.59,863.76
2017년03월09일,1840.07,1512.76,1303.21,863.58
2017년03월10일,1839.62,1512.17,1302.80,863.60
2017년03월11일,1837.77,1511.66,1302.11,863.43
2017년03월12일,1838.24,1511.54,1301.83,862.99
2017년03월13일,1838.18,1511.22,1301.76,862.67
2017년03월14일,1837.07,1510.48,1301.02,862.50
2017년03월15일,1836.24,1509.70,1300.28,862.41
2017년03월16일,1835.92,1508.75,1299.25,862.41
2017년03월17일,1834.68,1507.81,1298.26,862.28
2017년03월18일,1835.00,1506.89,1297.22,862.26
2017년03월19일,1835.37,1506.49,1296.70,862.07
2017년03월20일,1833.02,1505.73,1296.27,861.79
2017년03월21일,1829.92,1504.17,1294.74,861.24
2017년03월22일,1827.83,1502.85,1293.51,860.61
2017년03월23일,1826.70,1501.53,1292.12,860.11
2017년03월24일,1826.27,1500.27,1290.88,859.82
2017년03월25일,1825.45,1499.10,1289.62,859.50
2017년03월26일,1825.37,1498.66,1289.00,859.20
2017년03월27일,1823.47,1497.82,1288.47,858.94
2017년03월28일,1821.94,1496.23,1286.82,858.50
2017년03월29일,1821.19,1494.77,1285.39,858.13
2017년03월30일,1820.06,1493.63,1284.19,857.74
2017년03월31일,1818.87,1492.80,1283.40,857.43
2017년04월01일,1818.06,1490.96,1281.44,856.98
2017년04월02일,1819.56,1490.48,1280.79,856.56
2017년04월03일,1817.59,1489.82,1280.48,856.45
2017년04월04일,1818.17,1488.87,1279.35,855.95
2017년04월05일,1818.02,1488.06,1278.42,855.48
2017년04월06일,1817.42,1487.51,1277.80,855.41
2017년04월07일,1815.74,1486.94,1277.33,854.91
2017년04월08일,1815.70,1486.51,1276.71,854.40
2017년04월09일,1817.37,1486.39,1276.41,854.36
2017년04월10일,1817.43,1486.30,1276.64,854.05
2017년04월11일,1820.13,1486.64,1276.81,853.86
2017년04월12일,1819.76,1486.70,1276.95,853.56
