,날짜,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
315,2016년 11월 11일,8.7,14.8,4.6,3.4,3.1,10.200000000000001
316,2016년 11월 12일,10.4,17.8,3.0,3.0,0.0,14.8
317,2016년 11월 13일,13.7,18.4,9.7,7.9,0.8,8.7
318,2016년 11월 14일,13.5,17.5,9.9,7.4,3.0,7.6
319,2016년 11월 15일,6.5,11.3,2.7,0.0,0.0,8.600000000000001
320,2016년 11월 16일,5.2,12.6,-1.3,1.3,0.0,13.9
321,2016년 11월 17일,8.0,16.5,2.1,2.3,0.0,14.4
322,2016년 11월 18일,9.7,15.4,2.8,5.5,1.3,12.600000000000001
323,2016년 11월 19일,12.8,14.8,10.8,9.9,0.1,4.0
324,2016년 11월 20일,10.6,16.4,5.3,1.6,0.0,11.099999999999998
325,2016년 11월 21일,9.5,13.9,3.7,6.8,0.0,10.2
326,2016년 11월 22일,3.5,9.0,-1.2,7.3,0.6,10.2
327,2016년 11월 23일,-0.2,4.4,-3.7,4.3,0.0,8.100000000000001
328,2016년 11월 24일,-0.8,3.8,-4.6,0.0,0.0,8.399999999999999
329,2016년 11월 25일,1.3,7.3,-3.9,3.9,0.0,11.2
330,2016년 11월 26일,1.1,3.8,-2.0,7.4,1.9,5.8
331,2016년 11월 27일,4.2,8.3,0.2,6.8,0.5,8.100000000000001
332,2016년 11월 28일,2.4,7.3,-0.8,0.0,0.0,8.1
333,2016년 11월 29일,1.4,8.2,-3.9,0.0,0.0,12.1
334,2016년 11월 30일,6.2,10.5,-1.2,8.3,1.5,11.7
335,2016년 12월 1일,4.9,8.9,-0.5,1.8,0.0,9.4
336,2016년 12월 2일,1.5,8.7,-4.2,0.0,0.0,12.899999999999999
337,2016년 12월 3일,3.3,11.5,-2.8,2.5,0.0,14.3
338,2016년 12월 4일,4.7,8.7,0.4,8.1,0.0,8.299999999999999
339,2016년 12월 5일,6.8,12.0,1.7,7.9,0.5,10.3
340,2016년 12월 6일,-0.5,4.9,-3.6,0.0,0.0,8.5
341,2016년 12월 7일,2.2,8.6,-4.4,5.0,0.0,13.0
342,2016년 12월 8일,2.8,7.8,-3.8,6.1,3.8,11.6
343,2016년 12월 9일,2.3,6.3,-2.4,3.0,1.1,8.7
344,2016년 12월 10일,-0.7,5.2,-5.0,0.0,0.0,10.2
345,2016년 12월 11일,-1.5,5.5,-7.2,0.4,0.0,12.7
346,2016년 12월 12일,2.5,8.8,-4.5,6.9,0.0,13.3
347,2016년 12월 13일,2.6,8.7,-1.4,5.5,0.0,10.1
348,2016년 12월 14일,-0.6,1.6,-2.4,6.9,0.0,4.0
349,2016년 12월 15일,-3.5,0.6,-6.2,0.0,0.0,6.8
350,2016년 12월 16일,-3.6,1.4,-8.8,2.6,0.0,10.200000000000001
351,2016년 12월 17일,3.5,10.1,-2.4,5.9,0.0,12.5
352,2016년 12월 18일,5.2,8.1,1.5,7.5,0.0,6.6
353,2016년 12월 19일,7.4,12.6,3.8,7.8,1.5,8.8
354,2016년 12월 20일,6.1,14.6,1.9,2.6,0.0,12.7
355,2016년 12월 21일,8.3,13.6,1.2,8.0,32.6,12.4
356,2016년 12월 22일,6.2,13.1,2.7,10.0,21.5,10.399999999999999
357,2016년 12월 23일,-1.0,2.7,-2.5,9.4,1.1,5.2
358,2016년 12월 24일,-1.6,1.8,-3.7,6.0,0.0,5.5
359,2016년 12월 25일,1.3,7.5,-4.9,4.6,0.0,12.4
360,2016년 12월 26일,3.3,5.5,0.7,8.9,0.1,4.8
361,2016년 12월 27일,-0.9,3.0,-5.7,2.9,0.2,8.7
362,2016년 12월 28일,-3.3,3.2,-8.5,1.5,0.0,11.7
363,2016년 12월 29일,-3.1,0.3,-5.7,1.4,1.0,6.0
364,2016년 12월 30일,-3.3,3.5,-9.5,3.9,0.0,13.0
365,2016년 12월 31일,0.8,5.5,-3.8,6.6,0.0,9.3
366,2017년 1월 1일,2.9,8.2,-2.8,7.0,0.0,11.0
367,2017년 1월 2일,5.2,10.3,2.7,6.9,0.6,7.6000000000000005
368,2017년 1월 3일,1.8,8.5,-2.9,0.5,0.0,11.4
369,2017년 1월 4일,3.6,10.9,-1.2,2.4,0.0,12.1
370,2017년 1월 5일,4.3,8.3,-1.7,8.4,0.0,10.0
371,2017년 1월 6일,5.8,11.4,0.6,3.4,0.0,10.8
372,2017년 1월 7일,3.5,10.7,-1.6,4.3,0.0,12.299999999999999
373,2017년 1월 8일,7.1,11.9,2.3,7.4,0.0,9.600000000000001
374,2017년 1월 9일,2.4,6.0,-2.1,4.0,0.2,8.1
375,2017년 1월 10일,-2.0,3.1,-6.0,1.1,0.0,9.1
376,2017년 1월 11일,-3.2,2.7,-8.8,1.5,0.0,11.5
377,2017년 1월 12일,-1.0,3.0,-4.8,4.0,1.9,7.8
378,2017년 1월 13일,-5.1,0.0,-7.5,2.3,0.4,7.5
379,2017년 1월 14일,-7.1,-3.7,-8.8,0.0,0.0,5.1000000000000005
